Language,English,German,Spanish,Russian
STR_SYS_340,New vehicle call flag created at current target.,Neues Fahrzeug anlegen-flag erstellt am aktuellen Ziel.,En la ciudad se ha creado un punto de llamada técnica.,В городе создан пункт вызова техники.
STR_SYS_340_1,New vehicle call flag created at a secret base.,Neue Fahrzeug-Rufflagge wurde in einer geheimen Basis erstellt.,Se creó una nueva bandera de llamada de vehículos en una base secreta.,На секретной базе появился пункт вызова техники.

STR_SYS_343,Show player marker names:,Show player marker Namen:,Mostrar marcadores de jugador:,Отображение маркеров игроков:
STR_SYS_344,Show player marker direction:,Show player Markierung Richtung:,Mostrar la dirección de los marcadores de jugador:,Отображение направления у маркеров игроков:
STR_SYS_345,Show vehicle marker direction:,Show Fahrzeug-Markierung Richtung:,Visualización de la dirección en los marcadores de la técnica:,Отображение направления у маркеров техники:
STR_SYS_346,Player marker type:,Spieler-marker-Typ:,Tipo de marcador de jugador:,Тип маркера игрока:
STR_SYS_347,MHQ vehicles (create):,MHQ Fahrzeuge (schaffen):,Técnica de KSHM (descarga):,Техника из КШМ (выгрузка):
STR_SYS_348,Weather system enabled:,Wetter-system aktiviert:,Sistema de fenómenos meteorológicos:,Система погодных явлений:
STR_SYS_349,MG gunners able to build mg nest:,MGunners mg-Nester zu bauen:,Ametralladores despliegan nidos de ametralladoras:,Пулемётчики развёртывают пулемётные гнезда:
STR_SYS_350,Points a player looses for teamkill:,"Punkte, die ein Spieler verliert für Teamkills:",Puntos de penalización por fuego amistoso :,Очки штрафа за дружественный огонь :
STR_SYS_351,Points a medic gets if someone heals at his Mash:,"Punkte, die ein medic bekommt, wenn jemand heilt bei seinen Mash:",Recibe médico por tratar a otros jugadores en tienda:,Очков получает медик за лечение других игроков в палатке:
STR_SYS_352,Points a medic gets if he heals another unit:,"Punkte, die ein medic bekommt, wenn er heilt ein anderes Gerät:",Puntos recibe médico por tratar a alguien:,Очков получает медик за лечение кого-либо:
STR_SYS_353,"Rank needed to drive Strykers, BRDM:","Benötigter Rang zu fahren Strykers, BRDM:",Rango requerido para el control de vehículos blindados ligeros:,Требуемое звание для управления лёгкой бронетехникой:
STR_SYS_354,Rank needed to drive tanks:,Benötigter Rang zum Panzer fahren:,Rango requerido para el control de vehículos blindados:,Требуемое звание для управления бронетехникой:
STR_SYS_355,Rank needed to fly battle helicopters:,Benötigter Rang zum Fliegen Kampf-Hubschrauber:,Rango requerido para controlar helicópteros de combate:,Требуемое звание для управления боевыми вертолётами:
STR_SYS_356,Rank needed to fly planes:,"Benötigter Rang, Flugzeuge zu Fliegen:",Rango requerido para el control de aeronaves:,Требуемое звание для управления самолётами:
STR_SYS_357,"Max. points for the city (obtained outside vehicles in a radius of about %1 m. near the city):","Maximale Stadtpunkte (außerhalb von Maschinen in einem Radius von etwa %1m um die Stadt):","Puntos máximos de la ciudad (obtenidos fuera de la maquinaria en un radio de aproximadamente %1m cerca de la ciudad):","Макс. очки за город (получены вне техники в радиусе около %1 м. у города):"
STR_SYS_358,Points a player gets if he is %1 m away from a sidemission when it gets solved:,"Punkte, die ein Spieler bekommt, wenn er %1 m entfernt von einer sidemission, wenn es gelöst:","Puntos por completar una tarea adicional, un jugador dentro de un Radio de %1 m. desde el lugar de la operación:","Очков за выполнение дополнительной задачи, игрок в радиусе %1 м. от места операции:"
STR_SYS_359,Transport distance to get points:,Transport-Distanz um Punkte zu bekommen:,"La distancia de transporte por la que reciben puntos, en m.:","Дистанция транспортировки, за которую получают очки, в м.:"
STR_SYS_360,For unit transportation +%1 scores,Für die unit Transport +%1 erzielt,Por el transporte del 1er luchador + %1 puntos,За перевозку 1-го бойца +%1 очков
STR_SYS_361,Engine gets shut off on service point:,Motor wird abgestellt auf service-point:,Desconexión de motores en el punto de recarga:,Отключение двигателей в пункте перезарядки:

STR_SYS_362,AAHALO jump enabled:,AAHALO parajump aktiviert:,Aterrizaje activo:,Десантирование активно:
STR_SYS_363,AAHALO jump available at flag at base:,AAHALO parajump verfügbar unter der Flagge an Ihrer Basis:,El aterrizaje está disponible en la base:,Десантирование доступно на базе:
STR_SYS_364,Time between two AAHALO jumps from base flag: %1 secs,Die Zeit zwischen zwei AAHALO parajumps von base flag: %1 secs,Frecuencia de aterrizaje de la bandera en la base: %1 seg.,Периодичность десантирования от флага на базе: %1 сек.
STR_SYS_365,AAHALO jump start base height: %1 m,AAHALO jump start Höhe: %1 m,Altitud básica de aterrizaje :%1 m.,Базовая высота десантирования: %1 м.
STR_SYS_366,Create the following vehicle at jump flag instead parajump: %1,"Erstellen Sie das folgende Fahrzeug zu springen, stattdessen parajump: %1",Crear transporte en la bandera de la ciudad en lugar de saltar: %1,Создание транспорта у флага в городе вместо прыжка: %1
STR_SYS_367,Max. distance artillery operator to arti strike point: %1m,Maximale Distanz Artillerie-Betreiber zu arti-strike point: %1m,Distancia máxima entre el operador y el punto de aplicación de artudar :%1 m.,Макс. дистанция между оператором и точкой нанесения артудара: %1 м.
STR_SYS_368,Artillery reload time between two salvoes: %1 secs,Artillerie reload-Zeit zwischen zwei Salven: %1 Sekunden,Tiempo de recarga entre dos descargas de artillería: %1 seg.,Время перезарядки  между двумя артиллерийскими залпами: %1 сек.
STR_SYS_369,With ACE Map:,Mit ACE-Karte:,Con el mapa de ACE:,С картой АСЕ:
STR_SYS_370,Addon 'GDT Mod Tracked' loaded:,Addon 'GDT Mod Tracked' geladen:,Addon 'GDT Mod Tracked' cargado:,Загрузка аддона 'GDT Mod Tracked':
STR_SYS_371,"Artillery available again after 1, 2, 3 salvoes: %1, %2, %3 secs","Artillerie wieder verfügbar nach 1, 2, 3 Salven: %1, %2, %3 Sek.","Tiempo de acceso a la artillería después de 1, 2, 3 volea(s): %1, %2, %3 sec.","Время доступа к артиллерии после  1, 2, 3 залпа(ов): %1, %2, %3 сек."
STR_SYS_372,Check for friendly units near artillery target:,Überprüfen Sie für Verbündete Einheiten in der Nähe der Artillerie Ziel:,Inspeccionar la zona de destrucción de artillería aliada:,Проверять на наличие союзников зону поражения артиллерии:
STR_SYS_373,Maximum distance player to airdrop point to call in an airdrop:,Maximale Entfernung von Spielern zu airdrop Punkt in einem airdrop anrufen:,Distancia máxima entre el jugador y el punto de descarga de suministro:,Максимальное расстояние между игроком и точкой сброса снабжения:
STR_SYS_373_1,m.\n,m.\n,m.\n,м.\n
STR_SYS_374,"Player autokick time (kicked out of tanks, planes, choppers for the first seconds):","Spieler-Autokick-Zeit (aus Panzern, Flugzeugen, Hubschraubern in den ersten Sekunden rausgeschmissen):",Tiempo de auto-expulsión del equipo cuando se conecta con el juego:,Время авто-выброса из техники при соединении с игрой:

STR_SYS_400,Yes\n,Ja\n,Sí\n,Да\n
STR_SYS_400_1,Yes,Ja,Sí,Да
STR_SYS_401,No\n,Nein\n,No\n,Нет\n
STR_SYS_401_1,No,Nein,No,Нет

STR_SYS_402,first,erste,primero,первая
STR_SYS_403,second,zweite,segundo,вторая
STR_SYS_404,First,Erste,Primero,Первая
STR_SYS_405,Second,Zweite,Segundo,Вторая

STR_SYS_406,This vehicle already has an ammobox loaded,Dieses Fahrzeug hat bereits eine ammobox geladen,El cajón ya está cargado...,Ящик уже загружен...
STR_SYS_406_1,Maximum number ammo boxes (%1) already loaded... Please pick up a dropped box...,Maximale Anzahl Munitionskisten (%1) ist bereits geladen... Bitte abholen sank box...,Se ha alcanzado el número máximo de cajas en el mapa (%1)... Reúna los descargados previamente para descargar los nuevos...,"Достигнуто максимальное кол-во ящиков на карте (%1)... Соберите ранее выгруженные, чтобы выгружать новые..."
STR_SYS_406_2,Loading ammobox... please wait...,Be-Munitionskiste... bitte warten...,Carga... Esperad...,Загрузка... подождите...
STR_SYS_406_3,Ammo box loaded... ready !!!,Ammobox geladen... fertig !!!,Descarga completa...,Загрузка завершена...

STR_SYS_500,"The enemy has sent a convoy of supply, reinforced by armored vehicles, from %1 to %2. Your task: find and destroy all the machines, without any exception, including empty and upside down. If the mission fails, the penalty is -%3","Der Feind geschickt hat einen Konvoi der Versorgung, verstärkt durch Gepanzerte Fahrzeuge, von %1, %2. Ihre Aufgabe: finden und zu zerstören alle Maschinen, ohne jede Ausnahme, einschließlich leer-und invertierten. Scheitert die Mission, beträgt die Strafe -%3","El enemigo envió una columna de suministro reforzada con vehículos blindados de %1 a %2. Su tarea: detectar y destruir todas las máquinas sin excepción, incluyendo vacío y al revés. Si la misión fracasa, la penalización es de -%3","Враг отправил колонну снабжения, усиленную бронетехникой, из %1 в %2. Ваша задача: обнаружить и уничтожить все машины без исключения, включая пустые и перевёрнутые. При провале миссии штраф -%3"
STR_SYS_500_1,Moving vehicles in the convoy: %1,Sich bewegende Fahrzeuge im Konvoi: %1,Vehículos con tripulación en la columna de combate del convoy: %1 PC.,Машин с экипажем в боевой колонне конвоя: %1 шт.
STR_SYS_500_2,All the vehicles in the convoy lost crew!,"Alle Autos, die im Konvoi verlassen wurde ohne eine crew!",¡Todos los autos en el convoy se quedaron sin tripulaciones!,Все машины в конвое остались без экипажей!
STR_SYS_500_3,"Islanders report about convoy movement spotted","Inselbewohner berichten über Konvoi-Bewegung gesichtet","Los isleños informan sobre el movimiento de un convoy que ha sido visto","Замечено передвижение конвоя, сообщают островитяне"
STR_SYS_500_4,"Islanders report about convoy movement spotted near the target","Inselbewohner berichten über Konvoi-Bewegung in der Nähe des Ziels gesichtet","Los isleños informan sobre el movimiento de un convoy visto cerca del objetivo","Замечено передвижение конвоя близ цели, сообщают островитяне"

STR_SYS_501,Task completed! Convoy is destroyed,Auftrag ausgeführt! Der Konvoi gebrochen,¡Misión cumplida! Convoy destruido,Задание выполнено! Конвой уничтожен

STR_SYS_504,"Our helicopter was shot down near %1. Your task to move forward as quickly as possible and search of the crew of the helicopter. The enemy troops also sent their forces in the area of the crash. You have approximately %2 minutes before their arrival. (The mission can be accomplished only by a player in the role of rescuer, pilots should go by feet to the flag)","Unsere Hubschrauber wurde abgeschossen in der Nähe von %1. Ihre Aufgabe zu bewegen, so schnell wie möglich vorwärts und der Suche nach der Besatzung des Hubschraubers. Die feindlichen Truppen schickte auch Ihre Kräfte im Bereich der Absturz. Sie haben ungefähr %2 Minuten vor Ihrer Ankunft. (Die mission kann nur erreicht werden, indem ein Spieler in die Rolle des Retters)","Nuestro helicóptero fue derribado cerca de %1. Su tarea - tan pronto como sea posible para avanzar en busca de la tripulación del helicóptero. Las fuerzas enemigas también son enviadas a la zona de choque. Tienes aproximadamente %2 minutos antes de que lleguen. (Solo el jugador en el papel de salvavidas o líder del grupo puede completar la misión, los pilotos deben acercarse a la bandera)","Возле %1 был сбит наш вертолёт. Ваша задача - как можно быстрее выдвинуться на поиски экипажа вертолёта. Вражеские силы так-же высланы в зону крушения. У вас примерно %2 минут до их прибытия. (Завершить миссию может только игрок в роли спасателя или лидер группы, пилоты должны подойти к флагу)"
STR_SYS_504_0,"Pilots detected, controlled by ""%1""!","Die Piloten wurden geortet, sie werden von ""%1"" kontrolliert!","¡Los pilotos han sido localizados, están siendo controlados por ""%1""!","Пилоты обнаружены, их контролирует ""%1""!"
STR_SYS_504_1,"%1: - Get us out of the vehicle, commander!","%1: - Raus aus dem Fahrzeug, Commander!","%1: - ¡Baja, comandante!","%1: - Высади, командир!"
STR_SYS_504_2,"%1: - Need be closer to the flag, commander!","%1: - Müssen näher an der Flagge sein, commander!","%1: - ¡más Cerca de la bandera, comandante!","%1: - Ближе к флагу надо, командир!"
STR_SYS_504_3,"Pilots: - Take us to the flag, commander!","Pilots: - Bringt uns zur Flagge, commander!","Pilotos: - ¡tenemos que ir a la bandera, comandante!","Пилоты: - Нам к флагу надо, командир!"
STR_SYS_504_4,"GRU reports that '%1' has lost pilots, last location %2.","GRU meldet, dass '%1' Piloten verloren hat, letzter Standort %2.","La GRU informa que '%1' ha perdido pilotos, última ubicación %2","ГРУ сообщает: ""%1"" утерял пилотов, последнее местоположение %2"

STR_SYS_505,Good job! The rescue of helicopter crew was successful,Gute Arbeit! Die Rettung der Hubschrauber-crew erfolgreich war,¡Misión cumplida! La operación de rescate de la tripulación del helicóptero fue exitosa,Задание выполнено! Операция по спасению экипажа вертолёта прошла успешно
STR_SYS_506,The enemy took the settlement %1. You must steal the flag of their regiment and deliver it to our base.,"Der Feind eingenommen Ort %1. Das sollten Sie zu stehlen Ihre fahne des Regiments und liefern es an uns, an der Basis.","El enemigo ocupó la localidad de %1. Debe robar el estandarte de su regimiento y llevarlo a nosotros, a la base.","Враг занял населённый пункт %1. Вам надлежит выкрасть знамя их полка и доставить его к нам, на базу."
STR_SYS_FLAG_OWNED,%1 carries the flag,%1 trägt die Flagge!!!,La bandera lleva %1,Флаг несёт %1
STR_SYS_FLAG_EMPTY,GRU reports: the flag is back,"GRU berichtet, dass die Flagge zurück ist",GRU informa que la bandera está de vuelta,"ГРУ сообщает: флаг вернулся обратно"
STR_SYS_507,Good job! The regiment without the banner as the hole without a donut. They hide eyes and lick ice cream.,Auftrag ausgeführt! Das REGIMENT ohne Fahnen dass das Loch ohne Brezel. Sie verstecken die Augen und lecken Eis.,¡Misión cumplida! Un regimiento sin bandera que es un agujero sin bagel. Esconden los ojos y lamen el helado.,Задание выполнено! Полк без знамени что дырка без бублика. Они прячут глаза и лижут мороженое.
STR_SYS_508,"It became known that the culprit in the outbreak of the war, an officer who led aggression on Sahrani, hiding on one of the Islands Isla del Vasal or Isla del Vida. Crush the wretch! Addendum: local fishermen report that the Islands do air defenses in large amounts","Es wurde bekannt, dass der Täter in den Ausbruch des Krieges Offizier, leitete die Aggression auf Sahrani, die sich auf einer der Inseln Isla del Vasal oder Isla del Vida. Entsorgen Sie den Bösewicht! Ergänzung: die lokalen Fischer berichtet, dass auf der Insel stammen die Mittel der Luftverteidigung in großen Mengen","Se supo que el oficial responsable del estallido de la guerra, que dirigió la agresión en Sahrani, se escondía en una de las islas de Isla del Vasal o Isla del Vida. ¡Eliminen al villano! Además: los pescadores locales informan que se están importando equipos de defensa Aérea a las islas en grandes cantidades.","Стало известно, что виновный в развязывании войны офицер, возглавивший агрессию на Сахрани, прячется на одном из островов Isla del Vasal или Isla del Vida.  Ликвидируйте негодяя! Дополнение: местные рыбаки сообщают, что на острова завозятся средства ПВО в больших кол-вах!"
STR_SYS_509,Good job! The officer killed,Auftrag ausgeführt! Der Offizier zerstört,¡Misión cumplida! Oficial destruido,Задание выполнено! Офицер уничтожен


STR_SYS_516,"The enemy uses a fuelstation located in a camp north of Arcadia to refuel its vehicles. Simple task, destroy it to cut down fuel supplies.","Der Feind verwendet eine fuelstation sich in einem Lager im Norden von Arcadia zu tanken seiner Fahrzeuge. Einfache Aufgabe, es zu zerstören, zu reduzieren Kraftstoff versorgt.",Al Norte de Arcadia se encuentra la estación de Servicio. El enemigo lo usa para repostar su equipo. Su tarea: destruir la estación de Servicio.,К северу от Arcadia находится АЗС. Враг использует её для дозаправки своей техники. Ваша задача: уничтожить заправочную станцию.
STR_SYS_517,Good job. The fuelstation is down.,Auftrag ausgeführt! Tankstelle zerstört.,¡Misión cumplida! Gasolineras destruida.,Задание выполнено! АЗС уничтожена.
STR_SYS_518,The enemy is building a hangar on Trelobada. Intel reports that the enemy will use the hangar to develop submarines. Destroy it before they succeed.,"Der Feind ist, den Bau einer Halle auf Trelobada. Intel meldet, dass der Feind verwenden Sie den hangar zu entwickeln, die U-Boote. Zerstöre Sie, bevor Sie erfolgreich sein.","El enemigo termina la construcción de un hangar en Trelobada. Supuestamente, se planea desplegar la producción de armas ilegales para el ejército rebelde. Su tarea es destruir el hangar.","Враг заканчивает строительство ангара в Trelobada. Предположительно, там планируется развертывание производства нелегального оружия для повстанческой армии. Ваша задача уничтожение ангара."
STR_SYS_519,Good job. The hangar is down.,Gute Arbeit. Der hangar ist unten.,¡Misión cumplida! El hangar está destruido.,Задание выполнено! Ангар уничтожен.
STR_SYS_520,The enemy is producing chemical weapons at a base in region of%1. Find the watertower that is needed for the production and destroy it.,"Der Feind ist in der Produktion von chemischen Waffen in einem Stützpunkt in der region von %1. Finden Sie den Wasserturm, der erforderlich ist für die Produktion und Zerstöre es.","Según la inteligencia, en una base enemiga en el área de %1, se producen armas químicas. Encuentra la torre del reactor químico y destrúyela.","По данным разведки, на вражеской базе в районе %1 производится химическое оружие. Найдите башню химического реактора и уничтожьте её."
STR_SYS_521,Good job. The water tower is down.,Gute Arbeit. Der water tower ist down.,¡Misión cumplida! El químico ha sido destruido.,Задание выполнено! Химреактор уничтожен.
STR_SYS_522,There are some special operations boats in a bay near Pacamac that enemy SF forces use for secret missions. Find them and destroy them.,"Es gibt einige spezielle Operationen Boote in einer Bucht in der Nähe Regenmantel, der Feind SF erzwingt die Verwendung für geheime Missionen. Finden Sie und zerstören Sie.","Inteligencia informa que cerca de Pacamac fuerzas especiales están preparando la operación. Allí, en la costa, se encontraron botes inflables. Su tarea es destruir los barcos y así interrumpir la operación","Разведка докладывает что вблизи Pacamac силы специального назначения готовят операцию. Там же, на побережье, были обнаружены надувные лодки. Ваша задача уничтожить лодки и тем самым сорвать операцию"
STR_SYS_523,Good job. The boats are down.,Gute Arbeit. Die Boote sind unten.,¡Misión cumplida! Barcos destruidos.,Задание выполнено! Лодки уничтожены.
STR_SYS_524,Locals %1 claim that the king is hiding at %2 meters away!!!,"Die einheimischen %1 behaupten, dass der König versteckt ist %2 Meter Weg!!!",Local %1 asegura que el rey se esconde en %2 m del hotel!!!,"Местные %1 уверяют, что король прячется в %2 м. от отеля!!!"
STR_SYS_525,The locals don't know anything about the king's location!!!,Die einheimischen wissen nichts über die Lage des Königs!!!,¡Los locales no saben nada sobre la ubicación del rey!!!,Местные ничего не знают про местоположение короля!!!
STR_SYS_526,The locals think that the king is in the hotel or its surroundings.,"Die einheimischen denken, dass der König in einem Hotel oder seiner Umgebung ist",Los locales piensan que el rey está en el hotel o cerca,"Местные думают, что король - в отеле или рядом"
STR_SYS_527,The locals believe that the king has already died,"Lokale glauben, dass der König bereits gestorben ist",Los locales creen que el rey ya ha muerto,"Местные считают, что король уже помер"

STR_SYS_530,Only engineers can place static weapons,Nur Ingenieure platzieren können statische Waffen,¡Solo el ingeniero puede descargar las armas!,Выгружать оружие может только инженер!
STR_SYS_531,You have to get out before you can place the static weapon!,"Sie müssen raus, bevor Sie die statische Waffe!",Para descargar el arma que necesita para salir del camión!,Для выгрузки орудия вам необходимо выйти из грузовика!
STR_SYS_532,No static weapons loaded...,Keine statische Waffe geladen...,Las armas no están cargadas...,Нет загруженного оружия...
STR_SYS_533,Unload canceled,Entladen abgebrochen,Descarga cancelada,Выгрузка отменена
STR_SYS_534,Someone else unloaded already an item. Try again.,Jemand anderen abgeladen bereits ein Element. Versuchen Sie es erneut.,Este camión ya está descargando. Inténtalo de nuevo.,Этот грузовик уже кто-то разгружает. Попробуйте еще раз.
STR_SYS_535,Static weapon placement preview mode. Press 'Place Static' to place the object. You may place the object 20 m around the Salvage truck,Statische Platzierung Vorschau-Modus. Drücken Sie 'Platz Statische' auf dem Objekt platzieren. Sie können das Objekt 20 m um die Bergung LKW,Modo de vista previa de colocación de armas estáticas. Pulsa 'Colocar estática' para colocar el objeto. Puedes colocar el objeto a 20 m alrededor del camión de salvamento,Установка оружия. Скомандуйте 'Выгрузить оружие' и укажите нужное место в радиусе 20 м. от грузовика!
STR_SYS_536,Cancel Placing Static,Abbrechen Platzierung Statisch,Cancelar la colocación del dispositivo,Отмена загрузки
STR_SYS_537,Place Static,Platz Statische,Colocar estática,Выгрузить оружие
STR_SYS_538,"You are too far away from the Salvage truck to place the static vehicle, placing canceled!","Sie sind zu weit Weg von der LKW-Bergung auf die statische-Fahrzeug, überführung abgebrochen!",¡Estás demasiado lejos del camión! Descarga cancelada!,Вы слишком удалились от грузовика! Выгрузка отменена!
STR_SYS_539,Static placement canceled...,Statische Platzierung abgebrochen...,Descarga cancelada...,Выгрузка отменена...
STR_SYS_540,%1 placed!,%1 platziert!,Ha descargado y colocado %1,Вы выгрузили и разместили %1

STR_SYS_541,"It seems that the enemy doesn't want to give up %1 and starts a counterattack. Search defensive positions, the attack will start in a few minutes...","Es scheint, dass der Feind nicht aufgeben wollen, %1 und startet einen Gegenangriff. Suche defensive Positionen, der Angriff wird starten in wenigen Minuten...",Parece que el enemigo no va a regalar %1 y está preparando un contraataque. Ocúpate de la defensa y prepara la reunión...,Похоже что враг не собирается просто так отдавать %1 и готовит контратаку. Занимайте оборону и готовьте встречу...
STR_SYS_541_1,The counterattack starts. Hold the current target. Good luck and god help us all...,Der Gegenangriff beginnt. Halten Sie das aktuelle Ziel. Viel Glück und Gott uns allen helfen...,Contraataque ha comenzado!!! Mantenga la ciudad actual. Suertes... ... ...,Контратака началась!!! Удержите текущий город. Удачи... ... ...
STR_SYS_541_2,Good job. The counterattack was defeated...,Gute Arbeit. Der Gegenangriff wurde abgewehrt...,¡Tarea cumplida! Contraataque rechazado...,Задача выполнена! Контратака отбита...

STR_SYS_600,You were killed by %1. %1 looses %2 scores!,"Sie wurden getötet, von %1. %1 verliert %2 Punkte!",Lo mató %1. Está relegado a - %2 puntos.!,Вас убил %1. Он отштрафован на -%2 оч.!

STR_SYS_601,Respawn at Base,Respawn an der Basis,Renacimiento en la base,Возрождение на базе
STR_SYS_602,Teleport to MHQ %1,Teleport auf MHQ %1,Teletransporte a KSHM %1,Телепорт на КШМ %1
STR_SYS_603,Respawn at MHQ %1,Respawn bei MHQ %1,Revival en KSHM %1,Возрождение на КШМ %1
STR_SYS_601_1,%1. Dmg. %2%3,%1. Schaden %2%3,%1. Dañado %2%3,%1. Повр. %2%3

STR_SYS_604,"Sahrani People welcome the %1 of the warrior-internationalist in their troubled land: ""Liberate us from the boot of the occupier, a soldier!""","Sahrani Menschen begrüßen die %1 des Kriegers-internationalistischen in ihrem unruhigen Land: "" Befreien Sie ihn aus dem Boot der Besatzer, Soldat!""","La población de Sahrani da la bienvenida al guerrero internacionalista %1 en su tierra sufrida: \ n""¡Libéranos de la bota del Interventor, soldado!""","Население Сахрани приветствует %1-го воина-интернационалиста на своей многострадальной земле:\n""Освободи нас от сапога интервента, солдат!"""
STR_SYS_604_1,"Nearly half of Sahrani released, but the population Sahrani glad to any defender of true liberty, and welcomes the %1 warrior-the internationalist at this long-suffering land:\n""Deliver us from the boot of The Federal reserve agents, soldier!""","Fast die Hälfte von Sahrani veröffentlicht, aber die Bevölkerung Sahrani froh, dass alle Verteidiger des wahren Freiheit, und begrüßt die %1 Krieger-die Internationalistische an diesem leidgeprüften land:\n""Erlöse uns von dem boot Der Federal reserve Agenten, Soldaten!""","La mitad de los Sahrani ya han sido liberados, pero la población de Sahrani está contenta con cualquier defensor de la libertad sin engaño y da la bienvenida al guerrero internacionalista %1 en su tierra sufrida: \ n""¡Libéranos de la bota del Interventor, soldado!""","Уже половина Сахрани освобождена, но население Сахрани радо любому защитнику свободы без обмана и  приветствует %1-го воина-интернационалиста на своей многострадальной земле:\n""Освободи нас от сапога интервента, солдат!"""
STR_SYS_604_0,You are the first [English speaking] warrior in this dangerous mission on Sahrani liberation!\n Be worthy of Your great goal!,Sie sind der erste [deutschsprachiger] Krieger in dieser gefährlichen Mission zur Befreiung der Сахрани!\n Seien Sie würdig seiner großen Aufgabe!,¡Eres el primer guerrero [soviético] en esta peligrosa misión para liberar a Sahrani!\ n ¡sea digno de su misión más importante!,Вы - первый [советский] воин в этой опасной миссии по освобождению Сахрани!\nБудьте достойны своей важнейшей миссии!

STR_SYS_605,%1 killed %2 and looses %3 scores,%1 getötet %2. %1 verliert %3 erzielt,%1 mata %2 y pierde puntos: %3!,%1 убил %2 и теряет очков: %3!
STR_SYS_605_1,You killed %1 and looses %2 scores,Du hast '%1' getötet und verlierst %2 Punkte,Has matado a '%1' y pierdes %2 puntos,Вы убили '%1' и теряете очки: %2!

STR_SYS_606,During %4 you are on GRU duty in %1 [+%2/%3],During %4 you are on GRU duty in %1 [+%2/%3],"En %4, realiza la tarea GRU en %1 [+%2/%3]!",В течении %4 Вы выполняете задание ГРУ в %1 [+%2/%3]!

STR_SYS_607,You need %2 point[s] for parajump. Your current scores are %1,Sie müssen %2 Punkte für parajump. Ihre aktuelle Punktzahl beträgt %1,Para saltar necesita puntos: %2. Ahora tienes: %1,Для прыжка необходимо очков: %2. Сейчас у вас: %1
STR_SYS_608,"You need more points, now wait %1 minutes for a free jump (or %2 points), the jump itself requires another %3 points. You only have %4","Sie haben nur wenige Punkte, Sie müssen auf %1 Minuten für einen freien Sprung warten (oder %2 Punkte ausgeben), der Sprung selbst kostet %3 Punkte. Sie haben nur %4","Tienes pocos puntos, tienes que esperar %1 min para el salto libre (o gastar %2 puntos), necesitas otro %3 puntos para el salto. Usted tiene sólo %4","У вас мало очков, Вы должны подождать %1 мин для свободного прыжка (или потратить %2 балла), на прыжок нужны ещё %3 балла. Вы имеет только %4"
STR_SYS_608_1,"You will spend points on this jump: %1, %2 for the jump and %3 for not waiting for a free jump (%4 min.)","Sie werden Punkte für diesen Sprung ausgeben: %1, %2 für den Sprung und %3 für das warten auf den freien Sprung (%4 min.)","Gastarás puntos en este salto: %1 ,% 2 por el salto y %3 por no esperar el salto libre (%4 min.)","На этот прыжок вы потрате очков: %1, %2 за прыжок и %3 за то что не дождались бесплатного прыжка(%4 мин.)"
STR_SYS_609,!!!!!!!!!!!! You need a parachute pack first !!!!!!!!!!!,!!!!!!!!!!!! Sie brauchen einen Fallschirm pack zuerst !!!!!!!!!!!,!!!!!!!!!!!! ¡Necesitas un paracaídas !!!!!!!!!!!,!!!!!!!!!!!! Вам нужен парашют !!!!!!!!!!!
STR_SYS_609_1,You finally realize that skydiving requires a parachute ! ... last question: - how about paid for jump points?,"Man merkt endlich, dass Fallschirmspringen einen Fallschirm erfordert ! ... Frage: - warum habe ich für diesen Sprung bezahlt?",¡Te das cuenta de que se necesitaba un paracaídas para saltar! ... Último pensamiento: - ¿Devolverán los puntos?,"Внезапное озарение - для прыжка был нужен парашют!!! ... последняя мысль: - ""вернут ли очки?"""
STR_SYS_609_2,"You can jump without a parachute all you want.","Du kannst ohne Fallschirm springen, so viel du willst.","Puedes saltar sin paracaídas todo lo que quieras.","Вы можете прыгать без парашюта сколько угодно."
STR_SYS_609_3,Jump costs -%1,Fallschirmspringen Kosten -%1,Gastos de paracaidismo -%1,Затраты на прыжок -%1

STR_SYS_JUMP_NUM,3,3,3,3
STR_SYS_JUMP_0,"Because of a bad feeling, you decided not to jump...","Wegen eines schlechten Gefühls hast du dich entschieden, nicht zu springen...","Debido a un mal presentimiento, decidiste no saltar...","Из-за плохих предчувствий Вы решили не прыгать..."
STR_SYS_JUMP_1,"I don't feel like skydiving... I'd rather go to sleep.","Mir ist nicht nach Fallschirmspringen zumute... Ich würde lieber schlafen gehen.","No tengo ganas de hacer paracaidismo... prefiero ir a dormir","Что-то прыгать с парашютом расхотелось...лучше пойду посплю"
STR_SYS_JUMP_2,"You're looking up at the sky and... don't dare to jump!","Du schaust in den Himmel und... traust dich nicht zu springen!","Estás mirando al cielo y... ¡no te atrevas a saltar!","Вы смотрите в небо и... не решаетесь прыгать!"

STR_SYS_609_5,"Thanks to your life experience (they don't give ranks for nothing!) you dropped the parachute","Dank der Lebenserfahrung (Titel gibt es nicht umsonst!) haben Sie den Fallschirm abgeworfen","Gracias a la experiencia de la vida (¡no dan títulos por nada!) se te ha caído el paracaídas","Благодаря жизненному опыту (звания дают не зря!) Вы избавились таки от парашюта"

STR_SYS_MTBONUS_MAX,Max bonus %1,Max. Bonus %1,Bono máximo %1,Макс. очки у %1
STR_SYS_MTBONUS_MIN,Min bonus %1,Min. Bonus %1,Bono mínimo %1,Мин. очки у %1
